År;DagMånad;Totalt;M Tot;M 0-64 år;M 65-79 år;M 80-89 år;M 90+ år;K Tot;K 0-64 år;K 65-79 år;K 80-89 år;K 90+ år;-;Sort;Dag;Månad;Ar;;;;;-;Sort;Dag;Månad
2020;11 november;248;138;18;52;48;20;110;2;26;45;37;;1111;11;november;2020;;;;;;228;28;februari
2020;10 november;235;111;11;37;40;23;124;9;22;47;46;;1110;10;november;2020;;;;;;229;29;februari
2020;9 november;240;111;14;33;42;22;129;10;33;42;44;;1109;9;november;2020;;;;;;301;1;mars
2020;8 november;238;119;9;38;48;24;119;3;29;47;40;;1108;8;november;2020;;;;;;302;2;mars
2020;7 november;240;119;16;40;47;16;121;7;35;41;38;;1107;7;november;2020;;;;;;303;3;mars
2020;6 november;247;133;16;52;43;22;114;9;23;38;44;;1106;6;november;2020;;;;;;304;4;mars
2020;5 november;232;105;12;30;42;21;127;10;41;40;36;;1105;5;november;2020;;;;;;305;5;mars
2020;4 november;249;120;16;41;45;18;129;10;36;48;35;;1104;4;november;2020;;;;;;306;6;mars
2020;3 november;225;109;15;38;33;23;116;7;33;43;33;;1103;3;november;2020;;;;;;307;7;mars
2020;2 november;241;125;19;33;46;27;116;12;33;32;39;;1102;2;november;2020;;;;;;308;8;mars
2020;1 november;254;117;14;42;40;21;137;7;32;48;50;;1101;1;november;2020;;;;;;309;9;mars
2020;31 oktober;225;110;10;32;44;24;115;10;28;39;38;;1031;31;oktober;2020;;;;;;310;10;mars
2020;30 oktober;237;106;10;34;42;20;131;10;33;42;46;;1030;30;oktober;2020;;;;;;311;11;mars
2020;29 oktober;259;133;13;41;56;23;126;7;39;47;33;;1029;29;oktober;2020;;;;;;312;12;mars
2020;28 oktober;238;135;11;49;50;25;103;8;26;34;35;;1028;28;oktober;2020;;;;;;313;13;mars
2020;27 oktober;226;109;13;41;33;22;117;9;30;38;40;;1027;27;oktober;2020;;;;;;314;14;mars
2020;26 oktober;250;123;17;47;36;23;127;15;30;44;38;;1026;26;oktober;2020;;;;;;315;15;mars
2020;25 oktober;243;112;7;43;49;13;131;8;33;52;38;;1025;25;oktober;2020;;;;;;316;16;mars
2020;24 oktober;237;119;19;33;44;23;118;9;34;39;36;;1024;24;oktober;2020;;;;;;317;17;mars
2020;23 oktober;211;108;10;30;41;27;103;10;23;40;30;;1023;23;oktober;2020;;;;;;318;18;mars
2020;22 oktober;200;94;9;24;44;17;106;15;28;28;35;;1022;22;oktober;2020;;;;;;319;19;mars
2020;21 oktober;229;126;16;48;46;16;103;7;23;36;37;;1021;21;oktober;2020;;;;;;320;20;mars
2020;20 oktober;226;115;18;35;40;22;111;11;27;39;34;;1020;20;oktober;2020;;;;;;321;21;mars
2020;19 oktober;222;119;11;39;48;21;103;5;28;35;35;;1019;19;oktober;2020;;;;;;322;22;mars
2020;18 oktober;223;107;8;39;37;23;116;10;26;35;45;;1018;18;oktober;2020;;;;;;323;23;mars
2020;17 oktober;216;101;9;42;31;19;115;9;36;37;33;;1017;17;oktober;2020;;;;;;324;24;mars
2020;16 oktober;217;122;10;52;39;21;95;6;30;30;29;;1016;16;oktober;2020;;;;;;325;25;mars
2020;15 oktober;257;118;18;40;39;21;139;7;32;55;45;;1015;15;oktober;2020;;;;;;326;26;mars
2020;14 oktober;245;127;12;50;46;19;118;11;26;38;43;;1014;14;oktober;2020;;;;;;327;27;mars
2020;13 oktober;223;110;25;25;41;19;113;12;26;39;36;;1013;13;oktober;2020;;;;;;328;28;mars
2020;12 oktober;231;112;19;34;31;28;119;8;28;37;46;;1012;12;oktober;2020;;;;;;329;29;mars
2020;11 oktober;193;111;16;41;36;18;82;4;25;21;32;;1011;11;oktober;2020;;;;;;330;30;mars
2020;10 oktober;227;133;21;42;44;26;94;9;26;29;30;;1010;10;oktober;2020;;;;;;331;31;mars
2020;9 oktober;234;119;17;37;38;27;115;12;31;44;28;;1009;9;oktober;2020;;;;;;401;1;april
2020;8 oktober;219;118;13;33;42;30;101;8;30;33;30;;1008;8;oktober;2020;;;;;;402;2;april
2020;7 oktober;227;121;13;49;40;19;106;5;28;36;37;;1007;7;oktober;2020;;;;;;403;3;april
2020;6 oktober;212;117;17;35;45;20;95;13;18;40;24;;1006;6;oktober;2020;;;;;;404;4;april
2020;5 oktober;229;101;9;36;33;23;128;8;35;43;42;;1005;5;oktober;2020;;;;;;405;5;april
2020;4 oktober;202;100;11;35;37;17;102;6;32;35;29;;1004;4;oktober;2020;;;;;;406;6;april
2020;3 oktober;183;95;11;31;31;22;88;9;31;28;20;;1003;3;oktober;2020;;;;;;407;7;april
2020;2 oktober;253;131;16;48;51;16;122;8;29;47;38;;1002;2;oktober;2020;;;;;;408;8;april
2020;1 oktober;260;118;16;53;33;16;142;11;45;43;43;;1001;1;oktober;2020;;;;;;409;9;april
2020;30 september;220;100;20;31;31;18;120;11;25;44;40;;0930;30;september;2020;;;;;;410;10;april
2020;29 september;187;91;10;31;29;21;96;7;23;38;28;;0929;29;september;2020;;;;;;411;11;april
2020;28 september;242;107;15;33;38;21;135;12;33;46;44;;0928;28;september;2020;;;;;;412;12;april
2020;27 september;209;94;6;34;32;22;115;9;33;33;40;;0927;27;september;2020;;;;;;413;13;april
2020;26 september;238;114;9;37;49;19;124;6;39;40;39;;0926;26;september;2020;;;;;;414;14;april
2020;25 september;213;105;10;39;38;18;108;13;27;32;36;;0925;25;september;2020;;;;;;415;15;april
2020;24 september;244;122;10;43;42;27;122;12;27;41;42;;0924;24;september;2020;;;;;;416;16;april
2020;23 september;225;95;11;31;32;21;130;13;32;47;38;;0923;23;september;2020;;;;;;417;17;april
2020;22 september;209;98;16;26;40;16;111;8;24;32;47;;0922;22;september;2020;;;;;;418;18;april
2020;21 september;225;109;12;46;34;17;116;14;27;45;30;;0921;21;september;2020;;;;;;419;19;april
2020;20 september;198;87;9;31;31;16;111;7;33;40;31;;0920;20;september;2020;;;;;;420;20;april
2020;19 september;229;120;19;40;34;27;109;7;30;40;32;;0919;19;september;2020;;;;;;421;21;april
2020;18 september;200;89;11;32;31;15;111;9;27;39;36;;0918;18;september;2020;;;;;;422;22;april
2020;17 september;238;120;21;37;37;25;118;15;39;36;28;;0917;17;september;2020;;;;;;423;23;april
2020;16 september;227;128;15;44;46;23;99;7;30;33;29;;0916;16;september;2020;;;;;;424;24;april
2020;15 september;223;108;15;39;38;16;115;6;37;36;36;;0915;15;september;2020;;;;;;425;25;april
2020;14 september;196;100;13;38;32;17;96;2;30;25;39;;0914;14;september;2020;;;;;;426;26;april
2020;13 september;236;122;18;45;38;21;114;7;28;45;34;;0913;13;september;2020;;;;;;427;27;april
2020;12 september;219;104;17;42;30;15;115;10;31;37;37;;0912;12;september;2020;;;;;;428;28;april
2020;11 september;225;124;12;50;46;16;101;5;17;39;40;;0911;11;september;2020;;;;;;429;29;april
