0488;Trosa;13 747;438;110;111;‑1;1 142;148;883;111;712;144;529;39;430;4;354;72;9
0428;Vingåker;9 111;‑25;69;115;‑46;691;307;292;92;673;351;304;18;18;‑44;‑12;74;3
05;Östergötland;465 495;3 912;5 035;4 130;905;15 695;.;11 701;3 994;12 743;.;11 240;1 503;2 952;.;461;2 491;55
0560;Boxholm;5 476;27;49;63;‑14;295;179;103;13;254;143;101;10;41;36;2;3;0
0562;Finspång;21 912;154;212;222;‑10;1 200;538;393;269;1 040;564;401;75;160;‑26;‑8;194;4
0513;Kinda;9 940;25;101;102;‑1;507;253;204;50;483;260;203;20;24;‑7;1;30;2
0580;Linköping;163 051;2 017;1 858;1 175;683;9 628;2 270;5 440;1 918;8 306;2 237;5 317;752;1 322;33;123;1 166;12
0586;Mjölby;27 758;385;302;296;6;1 549;1 005;394;150;1 170;712;400;58;379;293;‑6;92;0
0583;Motala;43 673;‑14;438;440;‑2;1 578;666;711;201;1 597;842;684;71;‑19;‑176;27;130;7
0581;Norrköping;143 171;1 495;1 618;1 200;418;6 432;1 923;3 430;1 079;5 374;1 941;3 017;416;1 058;‑18;413;663;19
0582;Söderköping;14 626;8;143;150;‑7;874;630;170;74;863;609;220;34;11;21;‑50;40;4
0584;Vadstena;7 428;‑86;54;110;‑56;455;219;210;26;485;274;201;10;‑30;‑55;9;16;0
0563;Valdemarsvik;7 873;‑83;68;111;‑43;506;249;163;94;547;339;195;13;‑41;‑90;‑32;81;1
0512;Ydre;3 747;4;42;49;‑7;208;45;139;24;197;28;155;14;11;17;‑16;10;0
0561;Åtvidaberg;11 503;‑34;89;140;‑51;604;382;164;58;590;358;205;27;14;24;‑41;31;3
0509;Ödeshög;5 337;14;61;72;‑11;350;132;180;38;328;184;141;3;22;‑52;39;35;3
06;Jönköping;363 599;2 774;4 090;3 180;910;11 967;.;8 650;3 317;10 246;.;9 175;1 071;1 721;.;‑525;2 246;143
0604;Aneby;6 848;16;99;73;26;379;222;124;33;398;253;138;7;‑19;‑31;‑14;26;9
0686;Eksjö;17 753;86;174;155;19;1 007;375;488;144;961;342;580;39;46;33;‑92;105;21
0662;Gislaved;29 963;106;342;288;54;1 275;346;644;285;1 225;333;810;82;50;13;‑166;203;2
0617;Gnosjö;9 712;‑64;102;82;20;459;191;165;103;546;317;204;25;‑87;‑126;‑39;78;3
0643;Habo;12 433;293;161;77;84;732;502;169;61;537;339;177;21;195;163;‑8;40;14
0680;Jönköping;141 081;1 859;1 644;1 100;544;7 169;1 832;3 819;1 518;5 927;1 717;3 682;528;1 242;115;137;990;73
0642;Mullsjö;7 290;‑34;76;70;6;377;172;154;51;418;232;170;16;‑41;‑60;‑16;35;1
0682;Nässjö;31 538;61;372;296;76;1 689;726;677;286;1 714;872;753;89;‑25;‑146;‑76;197;10
0684;Sävsjö;11 677;46;137;123;14;700;252;330;118;667;301;333;33;33;‑49;‑3;85;‑1
0687;Tranås;19 003;16;201;214;‑13;924;233;571;120;899;246;587;66;25;‑13;‑16;54;4
0665;Vaggeryd;14 275;295;156;122;34;833;479;220;134;576;355;192;29;257;124;28;105;4
0685;Vetlanda;27 466;‑38;277;261;16;1 011;299;503;209;1 067;340;670;57;‑56;‑41;‑167;152;2
0683;Värnamo;34 560;132;349;319;30;1 512;471;786;255;1 411;453;879;79;101;18;‑93;176;1
07;Kronoberg;201 469;1 583;2 308;1 817;491;8 571;.;6 312;2 259;7 513;.;6 760;753;1 058;.;‑448;1 506;34
0764;Alvesta;20 134;‑16;230;195;35;1 055;509;385;161;1 107;639;384;84;‑52;‑130;1;77;1
0761;Lessebo;8 733;‑47;99;84;15;595;244;238;113;659;370;260;29;‑64;‑126;‑22;84;2
0781;Ljungby;28 521;‑52;292;264;28;1 101;205;627;269;1 195;250;848;97;‑94;‑45;‑221;172;14
0767;Markaryd;10 320;60;118;108;10;667;106;466;95;617;100;470;47;50;6;‑4;48;0
0763;Tingsryd;12 393;‑14;115;187;‑72;746;192;424;130;688;270;400;18;58;‑78;24;112;0
0760;Uppvidinge;9 588;7;108;110;‑2;599;142;320;137;590;208;348;34;9;‑66;‑28;103;0
0780;Växjö;94 129;1 562;1 132;718;414;5 796;1 468;3 286;1 042;4 653;938;3 389;326;1 143;530;‑103;716;5
0765;Älmhult;17 651;83;214;151;63;1 040;162;566;312;1 032;253;661;118;8;‑91;‑95;194;12
08;Kalmar;245 446;776;2 407;2 516;‑109;8 390;.;6 478;1 912;7 530;.;6 982;548;860;.;‑504;1 364;25
0885;Borgholm;10 839;‑34;67;160;‑93;629;231;345;53;570;265;278;27;59;‑34;67;26;0
0862;Emmaboda;9 445;45;81;120;‑39;571;152;315;104;487;191;269;27;84;‑39;46;77;0
0860;Hultsfred;14 224;‑136;141;167;‑26;940;235;509;196;1 057;306;723;28;‑117;‑71;‑214;168;7
0821;Högsby;5 921;‑173;52;87;‑35;485;144;220;121;624;339;261;24;‑139;‑195;‑41;97;1
0880;Kalmar;69 467;957;811;563;248;4 244;1 628;2 059;557;3 535;1 273;2 094;168;709;355;‑35;389;0
0861;Mönsterås;13 430;‑135;119;159;‑40;680;324;226;130;775;452;297;26;‑95;‑128;‑71;104;0
0840;Mörbylånga;15 249;201;138;138;0;970;513;356;101;774;484;255;35;196;29;101;66;5
0881;Nybro;20 318;‑32;181;224;‑43;1 076;454;474;148;1 074;506;501;67;2;‑52;‑27;81;9
0882;Oskarshamn;27 102;174;294;243;51;1 182;523;483;176;1 064;329;697;38;118;194;‑214;138;5
0834;Torsås;7 125;27;61;85;‑24;444;191;225;28;393;200;166;27;51;‑9;59;1;0
0884;Vimmerby;15 647;‑117;150;148;2;594;198;306;90;716;229;471;16;‑122;‑31;‑165;74;3
0883;Västervik;36 679;‑1;312;422;‑110;1 384;216;960;208;1 270;235;970;65;114;‑19;‑10;143;‑5
09;Gotland;59 686;437;516;625;‑109;2 735;.;2 314;421;2 190;.;2 032;158;545;.;282;263;1
0980;Gotland;59 686;437;516;625;‑109;2 735;.;2 314;421;2 190;.;2 032;158;545;.;282;263;1
10;Blekinge;159 606;‑78;1 545;1 664;‑119;5 539;.;4 313;1 226;5 506;.;4 991;515;33;.;‑678;711;8
1082;Karlshamn;32 473;143;310;369;‑59;1 375;449;759;167;1 177;336;762;79;198;113;‑3;88;4
1080;Karlskrona;66 622;‑53;643;639;4;2 971;454;1 872;645;3 031;440;2 306;285;‑60;14;‑434;360;3
1060;Olofström;13 426;‑90;117;146;‑29;652;201;359;92;713;255;428;30;‑61;‑54;‑69;62;0
1081;Ronneby;29 633;‑62;333;309;24;1 419;425;742;252;1 505;495;945;65;‑86;‑70;‑203;187;0
1083;Sölvesborg;17 452;‑16;142;201;‑59;834;183;581;70;792;186;550;56;42;‑3;31;14;1
12;Skåne;1 377 827;15 663;15 704;11 728;3 976;40 761;.;22 517;18 244;29 361;.;20 300;9 061;11 400;.;2 217;9 183;287
1260;Bjuv;15 715;214;183;141;42;1 441;1 096;187;158;1 275;1 106;115;54;166;‑10;72;104;6
1272;Bromölla;12 870;‑6;113;145;‑32;674;353;273;48;656;291;347;18;18;62;‑74;30;8
1231;Burlöv;19 112;752;243;145;98;2 547;2 039;232;276;1 897;1 612;174;111;650;427;58;165;4
1278;Båstad;15 128;180;124;183;‑59;1 204;523;543;138;963;497;397;69;241;26;146;69;‑2
1285;Eslöv;33 793;236;384;304;80;2 190;1 572;350;268;2 044;1 586;363;95;146;‑14;‑13;173;10
1283;Helsingborg;147 734;2 319;1 744;1 219;525;9 528;4 812;2 634;2 082;7 753;4 633;2 126;994;1 775;179;508;1 088;19
1293;Hässleholm;52 145;24;545;574;‑29;2 627;1 485;674;468;2 585;1 696;691;198;42;‑211;‑17;270;11
1284;Höganäs;26 942;376;233;263;‑30;1 613;974;397;242;1 214;797;311;106;399;177;86;136;7
1266;Hörby;15 631;‑4;178;175;3;1 001;779;139;83;1 009;830;133;46;‑8;‑51;6;37;1
1267;Höör;16 713;76;150;151;‑1;1 093;876;134;83;1 026;846;138;42;67;30;‑4;41;10
1276;Klippan;17 756;156;212;172;40;1 348;931;254;163;1 230;903;258;69;118;28;‑4;94;‑2
1290;Kristianstad;85 747;839;885;773;112;4 342;2 329;1 391;622;3 653;2 052;1 303;298;689;277;88;324;38
1261;Kävlinge;31 705;214;321;201;120;1 665;1 277;226;162;1 567;1 312;174;81;98;‑35;52;81;‑4
1282;Landskrona;46 090;315;563;424;139;2 917;1 809;504;604;2 765;1 968;499;298;152;‑159;5;306;24
1262;Lomma;24 834;71;201;181;20;1 411;956;229;226;1 363;1 024;216;123;48;‑68;13;103;3
1281;Lund;124 935;1 987;1 170;810;360;11 768;5 176;4 029;2 563;10 147;5 638;3 271;1 238;1 621;‑462;758;1 325;6
1280;Malmö;344 166;4 853;5 007;2 574;2 433;23 803;10 373;6 104;7 326;21 491;11 908;5 595;3 988;2 312;‑1 535;509;3 338;108
1273;Osby;13 208;‑59;146;133;13;764;343;336;85;840;423;378;39;‑76;‑80;‑42;46;4
1275;Perstorp;7 492;13;77;78;‑1;747;459;144;144;743;518;189;36;4;‑59;‑45;108;10
1291;Simrishamn;19 174;‑104;131;248;‑117;1 184;641;395;148;1 179;814;302;63;5;‑173;93;85;8
1265;Sjöbo;19 226;73;206;215;‑9;1 256;975;169;112;1 172;923;177;72;84;52;‑8;40;‑2
1264;Skurup;15 889;130;150;151;‑1;1 116;844;167;105;986;786;138;62;130;58;29;43;1
1230;Staffanstorp;25 396;672;293;190;103;2 147;1 813;160;174;1 578;1 315;186;77;569;498;‑26;97;0
1214;Svalöv;14 268;145;163;129;34;1 253;913;201;139;1 145;896;181;68;108;17;20;71;3
1263;Svedala;22 229;653;241;135;106;1 741;1 505;134;102;1 193;978;158;57;548;527;‑24;45;‑1
1270;Tomelilla;13 617;60;124;148;‑24;981;721;156;104;897;714;147;36;84;7;9;68;0
1287;Trelleborg;45 440;538;458;465;‑7;2 694;1 970;389;335;2 162;1 637;360;165;532;333;29;170;13
1233;Vellinge;36 628;129;323;277;46;2 175;1 528;361;286;2 090;1 610;328;152;85;‑82;33;134;‑2
1286;Ystad;30 541;315;259;374;‑115;1 884;1 354;348;182;1 454;1 053;291;110;430;301;57;72;0
1277;Åstorp;15 940;‑47;181;136;45;1 387;1 007;207;173;1 476;1 170;240;66;‑89;‑163;‑33;107;‑3
1292;Ängelholm;42 476;345;400;370;30;2 288;1 434;556;298;1 971;1 272;553;146;317;162;3;152;‑2
1257;Örkelljunga;10 280;106;104;98;6;819;514;206;99;722;450;231;41;97;64;‑25;58;3
1256;Östra Göinge;15 007;92;192;146;46;1 241;707;288;246;1 203;830;330;43;38;‑123;‑42;203;8
13;Halland;333 848;4 496;3 488;2 811;677;13 546;.;10 802;2 744;9 901;.;8 973;928;3 645;.;1 829;1 816;174
1382;Falkenberg;45 367;666;475;428;47;2 213;646;1 211;356;1 617;579;917;121;596;67;294;235;23
1380;Halmstad;102 767;1 499;1 136;873;263;5 511;1 135;3 265;1 111;4 352;1 036;2 985;331;1 159;99;280;780;77
1315;Hylte;10 815;‑99;129;121;8;612;190;321;101;737;374;323;40;‑125;‑184;‑2;61;18
1384;Kungsbacka;84 395;1 047;805;573;232;4 277;271;3 450;556;3 480;403;2 840;237;797;‑132;610;319;18
1381;Laholm;25 903;412;280;269;11;1 549;529;840;180;1 160;422;671;67;389;107;169;113;12
1383;Varberg;64 601;971;663;547;116;2 755;600;1 715;440;1 926;557;1 237;132;829;43;478;308;26
14;Västra Götaland;1 725 881;16 067;19 503;15 003;4 500;45 910;.;26 451;19 459;35 381;.;27 793;7 588;10 529;.;‑1 342;11 871;1 038
1440;Ale;31 402;476;354;216;138;2 204;1 731;225;248;1 887;1 565;257;65;317;166;‑32;183;21
1489;Alingsås;41 420;350;441;391;50;2 023;1 381;397;245;1 736;1 228;387;121;287;153;10;124;13
1460;Bengtsfors;9 750;‑96;87;138;‑51;538;275;164;99;587;340;208;39;‑49;‑65;‑44;60;4
1443;Bollebygd;9 495;68;97;66;31;628;492;78;58;595;464;98;33;33;28;‑20;25;4
1490;Borås;113 179;1 001;1 255;1 014;241;5 664;2 765;1 727;1 172;4 969;2 647;1 846;476;695;118;‑119;696;65
1438;Dals-Ed;4 813;7;45;64;‑19;249;146;29;74;219;140;40;39;30;6;‑11;35;‑4
1445;Essunga;5 654;‑17;58;61;‑3;323;225;63;35;336;271;62;3;‑13;‑46;1;32;‑1
1499;Falköping;33 246;91;397;374;23;1 603;854;492;257;1 542;873;574;95;61;‑19;‑82;162;7
1439;Färgelanda;6 637;35;64;90;‑26;446;342;66;38;390;317;58;15;56;25;8;23;5
1444;Grästorp;5 693;‑38;45;80;‑35;271;206;37;28;279;237;38;4;‑8;‑31;‑1;24;5
1447;Gullspång;5 280;‑13;54;67;‑13;345;126;159;60;358;192;145;21;‑13;‑66;14;39;13
1480;Göteborg;579 281;7 413;7 513;4 096;3 417;35 902;13 359;12 508;10 035;32 386;16 215;12 068;4 103;3 516;‑2 856;440;5 932;480
1471;Götene;13 207;‑25;133;131;2;601;408;128;65;636;491;120;25;‑35;‑83;8;40;8
1466;Herrljunga;9 464;‑30;87;117;‑30;492;351;73;68;498;366;113;19;‑6;‑15;‑40;49;6
1497;Hjo;9 210;34;102;104;‑2;476;290;120;66;447;288;144;15;29;2;‑24;51;7
1401;Härryda;37 977;175;375;257;118;2 268;1 644;401;223;2 227;1 658;477;92;41;‑14;‑76;131;16
1446;Karlsborg;6 940;‑1;70;87;‑17;378;177;157;44;367;222;132;13;11;‑45;25;31;5
1482;Kungälv;46 336;1 250;475;390;85;3 290;2 613;424;253;2 148;1 656;400;92;1 142;957;24;161;23
1441;Lerum;42 568;431;428;306;122;2 497;1 969;302;226;2 192;1 661;417;114;305;308;‑115;112;4
1494;Lidköping;40 089;210;399;414;‑15;1 578;941;446;191;1 362;809;489;64;216;132;‑43;127;9
1462;Lilla Edet;14 109;63;142;110;32;1 044;830;123;91;1 026;827;155;44;18;3;‑32;47;13
1484;Lysekil;14 555;‑56;123;194;‑71;756;432;219;105;744;506;168;70;12;‑74;51;35;3
1493;Mariestad;24 537;165;245;267;‑22;1 055;593;337;125;869;480;320;69;186;113;17;56;1
1463;Mark;34 754;‑27;338;347;‑9;1 567;934;425;208;1 605;965;541;99;‑38;‑31;‑116;109;20
1461;Mellerud;9 310;‑44;76;123;‑47;560;327;110;123;563;418;122;23;‑3;‑91;‑12;100;6
1430;Munkedal;10 513;10;102;127;‑25;605;482;75;48;575;486;77;12;30;‑4;‑2;36;5
1481;Mölndal;69 364;1 212;838;518;320;6 368;4 324;1 267;777;5 521;3 803;1 437;281;847;521;‑170;496;45
1421;Orust;15 218;108;122;178;‑56;909;638;155;116;750;560;147;43;159;78;8;73;5
1402;Partille;39 289;846;441;261;180;3 474;2 586;450;438;2 828;2 131;542;155;646;455;‑92;283;20
1495;Skara;18 837;8;203;217;‑14;1 152;681;276;195;1 138;768;305;65;14;‑87;‑29;130;8
1496;Skövde;56 366;637;655;483;172;3 134;1 756;955;423;2 678;1 525;1 018;135;456;231;‑63;288;9
1427;Sotenäs;9 061;31;80;150;‑70;533;307;130;96;435;302;100;33;98;5;30;63;3
1415;Stenungsund;26 777;274;276;211;65;1 597;1 196;205;196;1 402;1 055;244;103;195;141;‑39;93;14
1486;Strömstad;13 218;‑35;121;130;‑9;697;245;183;269;736;353;205;178;‑39;‑108;‑22;91;13
1465;Svenljunga;10 780;97;107;90;17;776;476;177;123;718;492;207;19;58;‑16;‑30;104;22
1435;Tanum;12 841;‑32;117;163;‑46;711;464;166;81;702;469;189;44;9;‑5;‑23;37;5
1472;Tibro;11 240;72;119;107;12;611;412;115;84;551;423;114;14;60;‑11;1;70;0
1498;Tidaholm;12 846;18;125;139;‑14;542;289;164;89;525;277;223;25;17;12;‑59;64;15
