152	Oman	25.4	2016 est.
153	Nicaragua	25.2	2016 est.
154	Cambodia	24.9	2016 est.
154	Cape Verde	24.9	2016 est.
156	Micronesia	24.7	2016 est.
157	Kiribati	24.3	2016 est.
158	Tajikistan	24.2	2016 est.
159	Syria	24.1	2016 est.
160	Bolivia	24.0	2016 est.
160	Lesotho	24.0	2016 est.
162	Samoa	23.9	2016 est.
163	Egypt	23.8	2016 est.
164	Nepal	23.6	2016 est.
165	Djibouti	23.5	2016 est.
166	Pakistan	23.4	2016 est.
166	Philippines	23.4	2016 est.
168	Botswana	23.2	2016 est.
169	Papua New Guinea	22.9	2016 est.
170	Laos	22.7	2016 est.
170	Marshall Islands	22.7	2016 est.
172	Haiti	22.6	2016 est.
172	Honduras	22.6	2016 est.
172	Tonga	22.6	2016 est.
175	Belize	22.4	2016 est.
176	Jordan	22.3	2016 est.
177	Solomon Islands	22.2	2016 est.
178	Guatemala	21.7	2016 est.
178	Vanuatu	21.7	2016 est.
180	Swaziland	21.4	2016 est.
181	Western Sahara	21.1	2016 est.
182	Ghana	21.0	2016 est.
182	Namibia	21.0	2016 est.
184	Côte d'Ivoire (Ivory Coast)	20.7	2016 est.
184	Gambia	20.7	2016 est.
186	Zimbabwe	20.6	2016 est.
187	Mauritania	20.3	2016 est.
188	Guinea-Bissau	20.0	2016 est.
189	Iraq	19.9	2016 est.
190	Congo (Republic)	19.7	2016 est.
190	Togo	19.7	2016 est.
192	Central African Republic	19.6	2016 est.
192	Comoros	19.6	2016 est.
192	Equatorial Guinea	19.6	2016 est.
192	Sudan	19.6	2016 est.
196	Kenya	19.5	2016 est.
196	Madagascar	19.5	2016 est.
198	Eritrea	19.4	2016 est.
199	Palestinian Territories	19.2	2016 est.
199	Yemen	19.2	2016 est.
201	Rwanda	19.0	2016 est.
201	Sierra Leone	19.0	2016 est.
203	East Timor	18.8	2016 est.
203	Guinea	18.8	2016 est.
205	Senegal	18.7	2016 est.
206	Afghanistan	18.6	2016 est.
206	Gabon	18.6	2016 est.
208	Cameroon	18.5	2016 est.
209	Congo (Democratic Republic)	18.4	2016 est.
210	Liberia	18.3	2016 est.
210	Nigeria	18.3	2016 est.
212	Angola	18.2	2016 est.
212	São Tomé and Príncipe	18.2	2016 est.
214	Benin	18.0	2016 est.
215	Somalia	17.9	2016 est.
216	Ethiopia	17.8	2016 est.
217	Chad	17.6	2016 est.
217	Tanzania	17.6	2016 est.
219	Burkina Faso	17.2	2016 est.
220	Mozambique	17.1	2016 est.
220	South Sudan	17.1	2016 est.
222	Burundi	17.0	2016 est.
223	Zambia	16.7	2016 est.
224	Malawi	16.5	2016 est.
225	Mali	16.2	2016 est.
226	Uganda	15.7	2016 est.
227	Niger	15.3	2016 est.
